"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1932793443815993584","Sat Jun 14 00:56:34 +0000 2025","0","@prabowo @SBYudhoyono Selamatkan Papua pak dari para penambang jadikan Papua sebagai wisata andalan Indonesia...","1933689988295897558","","prabowo","in","","0","0","0","https://x.com/undefined/status/1933689988295897558","1418260387514884099",
"1932580250661368112","Wed Jun 11 07:29:17 +0000 2025","0","@wasis_saptono Menu sehat gratis jadi andalan anak Papua untuk tumbuh bersama Prabowo","1932701657500168421","","wasis_saptono","in","","0","0","0","https://x.com/undefined/status/1932701657500168421","1843120328702365696",
"1932582351265280153","Wed Jun 11 03:39:09 +0000 2025","0","@svamudera Program makan bergizi gratis jadi andalan keluarga Papua inspirasi dari Prabowo","1932643743838187859","","svamudera","in","","0","0","0","https://x.com/undefined/status/1932643743838187859","1699660396649713664",
"1932263509737529354","Tue Jun 10 02:28:15 +0000 2025","0","Program MBG keren Presiden Prabowo jadi andalan buat Papua lebih maju masyarakat ikut support #MBGPapua https://t.co/FyCh5vjzX0","1932263509737529354","https://pbs.twimg.com/media/GtDHagMbYAAhTve.jpg","","in","","0","0","0","https://x.com/undefined/status/1932263509737529354","1851152520783282180",
"1931560415508468177","Sun Jun 08 20:01:52 +0000 2025","0","@Yunisyaahhh33 Papua dan Presiden Prabowo satu visi buat masa depan pangan dunia Food Estate jadi andalan baru","1931803888778354972","","Yunisyaahhh33","in","","0","0","0","https://x.com/undefined/status/1931803888778354972","1698918878112522240",
"1931568549048270908","Sun Jun 08 19:57:08 +0000 2025","0","@winda_annisa13 Papua makin kece dengan adanya Food Estate yang jadi andalan Presiden Prabowo buat masa depan pangan dunia","1931802693997351310","","winda_annisa13","in","","0","0","0","https://x.com/undefined/status/1931802693997351310","1542898369684594688",
"1931566286036930841","Sun Jun 08 17:12:10 +0000 2025","0","@fadiyah_irbati8 Salut sama optimisme Presiden Prabowo Food Estate Papua didorong jadi andalan Lumbung Pangan Dunia dari Timur","1931761179732623863","","fadiyah_irbati8","in","","0","0","0","https://x.com/undefined/status/1931761179732623863","1542904389547233282",
"1931568549048270908","Sun Jun 08 16:27:05 +0000 2025","0","@winda_annisa13 Presiden Prabowo punya visi hebat lewat Food Estate Papua bikin wilayah timur Indonesia jadi andalan pangan dunia","1931749833376973196","","winda_annisa13","in","","0","0","0","https://x.com/undefined/status/1931749833376973196","1681961758037282821",
"1931559270321213774","Sun Jun 08 07:00:56 +0000 2025","0","@Gawoxnlee Papua jadi andalan pangan global karena inovasi Presiden Prabowo lewat Food Estate","1931607358704406727","","Gawoxnlee","in","","0","0","0","https://x.com/undefined/status/1931607358704406727","1720016927689728000",
"1930418249612833064","Thu Jun 05 09:46:14 +0000 2025","0","@ila_lestana Langkah maju buat petani Papua dimulai dengan Food Estate andalan Prabowo","1930561793472283103","","ila_lestana","in","","0","0","0","https://x.com/undefined/status/1930561793472283103","1681880675430068224",
"1930277847031321062","Thu Jun 05 03:11:00 +0000 2025","0","@BungkusTukang membuka jalan di papua dari pajak rakyat.. demi investasi yang di nikmati segelintir orang.... https://t.co/O6xsuQpy1r","1930462332569956417","","BungkusTukang","in","","0","0","0","https://x.com/undefined/status/1930462332569956417","67769927",
"1930063685055328495","Wed Jun 04 13:52:39 +0000 2025","0","@agnes_nazila Gak perlu was-was TNI hadir di Papua jadi andalan buat jaga rasa aman","1930261420366856562","","agnes_nazila","in","","0","0","0","https://x.com/undefined/status/1930261420366856562","1683378807414362115",
"1929583071457685834","Mon Jun 02 21:34:06 +0000 2025","0","@Geraldd434543 Masyarakat Papua yakin makan gratis program pemerintah pusat jadi andalan lawan masalah gizi","1929652769440649554","","Geraldd434543","in","","0","0","0","https://x.com/undefined/status/1929652769440649554","1694260765136662528",
"1928140512835285270","Thu May 29 17:24:56 +0000 2025","0","Jakarta sampai Papua kelor dari Sleman jadi andalan banyak orang. #BRIfokusUMKM #InklusiKeuanganBRI #qrisbri https://t.co/IbuRPMqiEm","1928140512835285270","https://pbs.twimg.com/media/GsIhk7MaUAEjaE9.jpg","","in","","0","0","0","https://x.com/undefined/status/1928140512835285270","1816471307460251648",
"1927524542911483999","Wed May 28 03:36:27 +0000 2025","0","@agnes_nazila @prabowo Biar tetap semangat dan sehat makan enak gratis tiap hari jadi andalan anak Papua","1927569633198186652","","agnes_nazila","in","","0","0","0","https://x.com/undefined/status/1927569633198186652","1697095377772761088",
"1927152851257540681","Tue May 27 00:00:19 +0000 2025","0","Salut buat Haji Isam yang gigih membangun Papua hasil panennya jadi andalan nasional https://t.co/WqcAysojad #HajiIsamDermawan https://t.co/93S38otuPd","1927152851257540681","https://pbs.twimg.com/media/Gr6fTOMWUAAVlbC.jpg","","in","","0","0","0","https://x.com/undefined/status/1927152851257540681","1693880187434446848",
"1926522386314055947","Sun May 25 06:15:08 +0000 2025","23","Sebelum mentas ke politik nasional banyak yang memuji Isam sebagai pengusaha cerdas: tanpa partai ia bisa menempatkan orang-orangnya di kabinet. Ia juga menggarap proyek-proyek andalan Prabowo seperti food estate di Merauke Papua.","1926522400822190143","","tempodotco","in","","1","1","5","https://x.com/undefined/status/1926522400822190143","18129942",
"1926503551167058021","Sun May 25 05:15:33 +0000 2025","7","Sebelum mentas ke politik nasional banyak yang memuji Isam sebagai pengusaha cerdas: tanpa partai ia bisa menempatkan orang-orangnya di kabinet. Ia juga menggarap proyek-proyek andalan Prabowo seperti food estate di Merauke Papua.","1926507407124926464","","temponewsroom","in","","0","1","4","https://x.com/undefined/status/1926507407124926464","88352716",
"1926420298384933137","Sun May 25 04:27:55 +0000 2025","0","@NadyaMayra TNI-POLRI andalan kita biar Papua selalu aman dari awal sampai akhir #PapuaNKRI #papuaindonesia #PapuaDamai","1926495419002925346","","NadyaMayra","in","","0","0","0","https://x.com/undefined/status/1926495419002925346","1911704742775988224",
"1926190747377652177","Sat May 24 08:17:15 +0000 2025","0","Salut sama inovasi Haji Isam dalam membangun Papua Selatan jadi lumbung pangan andalan #HajiIsamDermawan https://t.co/44UDoWIBOQ https://t.co/qD29DvdwAF","1926190747377652177","https://pbs.twimg.com/ext_tw_video_thumb/1926190228038991872/pu/img/fhAZ0CJWkvYEx9Xl.jpg","","in","","0","0","0","https://x.com/undefined/status/1926190747377652177","1683768299711258624",
"1926143540523946040","Sat May 24 05:09:40 +0000 2025","0","Sukses Papua Selatan panen perdana jadi motivasi daerah lain buat bergerak Haji Isam jadi contoh leader andalan #HajiIsamDermawan https://t.co/3UCmH8z1bE https://t.co/lEmPWy6Ai0","1926143540523946040","https://pbs.twimg.com/ext_tw_video_thumb/1926143092832313344/pu/img/ereR9-C9qEd9VEBh.jpg","","in","","0","0","0","https://x.com/undefined/status/1926143540523946040","1843144560261931008",
"1926121006713676175","Sat May 24 03:40:08 +0000 2025","0","Salut sama inovasi Haji Isam dalam membangun Papua Selatan jadi lumbung pangan andalan #HajiIsamDermawan https://t.co/44UDoWIBOQ https://t.co/kxACciUFXp","1926121006713676175","https://pbs.twimg.com/ext_tw_video_thumb/1926120204666273793/pu/img/8VNxMpuUici2yVvR.jpg","","in","","0","0","0","https://x.com/undefined/status/1926121006713676175","1683768299711258624",
"1926035831975797227","Fri May 23 22:01:41 +0000 2025","0","MBG menjadi program andalan Presiden Prabowo untuk meningkatkan kualitas hidup anak Papua. #KesejahteraanAnakPapua https://t.co/Ouk7RYicyn","1926035831975797227","https://pbs.twimg.com/ext_tw_video_thumb/1926034104459403264/pu/img/uZbzqBV2rJ15PnyD.jpg","","in","","0","0","0","https://x.com/undefined/status/1926035831975797227","1699630788504150016",
"1925227111004229634","Fri May 23 20:19:53 +0000 2025","0","@FrediRandi4 Presiden Prabowo nunjukin komitmennya untuk Papua lewat Program MBG benar-benar jadi andalan","1926010215184363903","","FrediRandi4","in","","0","0","0","https://x.com/undefined/status/1926010215184363903","1684421264142905344",
"1925868160151908653","Fri May 23 10:55:24 +0000 2025","0","Salut sama inovasi Haji Isam dalam membangun Papua Selatan jadi lumbung pangan andalan #HajiIsamDermawan https://t.co/44UDoWIBOQ https://t.co/Dt6IgWCQwO","1925868160151908653","https://pbs.twimg.com/ext_tw_video_thumb/1925867361795452928/pu/img/kPmDmppBkXFLgQ9a.jpg","","in","","0","0","0","https://x.com/undefined/status/1925868160151908653","1683768299711258624",
"1925227111004229634","Thu May 22 03:38:13 +0000 2025","0","@FrediRandi4 Presiden Prabowo ingetin kita kalau anak Papua bisa jadi generasi andalan lewat Program MBG Papua semua terasa mungkin","1925395751288676734","","FrediRandi4","in","","0","0","0","https://x.com/undefined/status/1925395751288676734","1683694687448858625",
"1924876653123240365","Wed May 21 12:35:11 +0000 2025","0","@reaareaa__ Papua sekarang punya andalan baru dari Presiden Prabowo lewat program MBG","1925168495454822485","","reaareaa__","in","","0","0","0","https://x.com/undefined/status/1925168495454822485","1699115186676981760",
"1925022160176992635","Wed May 21 06:49:56 +0000 2025","59","@ObiWan_Catnobi kantor pos sampai sekarang masi jadi andalan buat ngirim surat jawa-papua karna cepetnya bukan main. masih jadi andalan. masa distribusi kek gitu ga dimanfaatin buat ecommerce.","1925081609327542347","","ObiWan_Catnobi","in","","0","2","5","https://x.com/undefined/status/1925081609327542347","33367648",
"1924230915947192627","Mon May 19 02:41:16 +0000 2025","0","@NadyaMayra TNI tetap andalan buat Papua selalu hadir lindungi masyarakat sekaligus bantu pendidikan dan pelayanan kesehatan berkembang","1924294253079109653","","NadyaMayra","in","","0","0","0","https://x.com/undefined/status/1924294253079109653","1698913966658039808",
"1923890807729508756","Sun May 18 02:52:53 +0000 2025","0","@NadyaMayra Soal keamanan Papua TNI selalu jadi andalan masyarakat untuk merasa nyaman dalam beraktivitas","1923934791529005310","","NadyaMayra","in","","0","0","0","https://x.com/undefined/status/1923934791529005310","1697456822209429504",
"1923211590637146243","Fri May 16 11:07:47 +0000 2025","0","@FrediRandi4 Keren Papua kini punya program andalan MBG Papua hasil gebrakan Presiden Prabowo buat wujudkan SDM tangguh","1923334558360981928","","FrediRandi4","in","","0","0","0","https://x.com/undefined/status/1923334558360981928","1700054256102088704",
"1921710207161278896","Mon May 12 02:44:08 +0000 2025","0","@NadyaMayra Infrastruktur dan pendidikan jadi andalan Papua buat buka pintu masa depan yang lebih cerah dan mandiri","1921758260178063572","","NadyaMayra","in","","0","0","0","https://x.com/undefined/status/1921758260178063572","1683771585109565440",
"1919552317696909468","Tue May 06 10:10:50 +0000 2025","0","@hexagrap_id Papua makin kuat ekonominya sejak Makan Bergizi Gratis Prabowo dukung sektor andalan kayak pertanian dan UMKM","1919696347592040495","","hexagrap_id","in","","0","0","0","https://x.com/undefined/status/1919696347592040495","1843541807868850177",
"1918811175825146092","Sun May 04 04:21:23 +0000 2025","0","@FradaRandi1 Konsistensi Presiden Prabowo ngedukung Papua bikin semua optimis pangan dari timur makin jadi andalan","1918883629406544286","","FradaRandi1","in","","0","0","0","https://x.com/undefined/status/1918883629406544286","1698624028049846272",
"1918811175825146092","Sun May 04 02:11:22 +0000 2025","0","@FradaRandi1 Gokil langkah Presiden Prabowo buat Papua Merauke bakal jadi andalan ketahanan pangan Nusantara","1918850912350515514","","FradaRandi1","in","","0","0","0","https://x.com/undefined/status/1918850912350515514","1841730820043898883",
"1918810966588060142","Sun May 04 02:07:30 +0000 2025","0","@FradaRandi1 Presiden Prabowo serius banget soal ketahanan pangan Papua jadi andalan baru biar Indonesia makin jaya dari ujung timur","1918849938949042682","","FradaRandi1","in","","0","0","0","https://x.com/undefined/status/1918849938949042682","1699786116285739010",
"1918056456085225616","Fri May 02 01:08:20 +0000 2025","0","@NoemeeBelonta Ini baru program yang bener-bener terasa manfaatnya MBG di Papua jadi andalan","1918110273212432713","","NoemeeBelonta","in","","0","0","0","https://x.com/undefined/status/1918110273212432713","1698624028049846272",
"1917739177296420882","Thu May 01 08:39:44 +0000 2025","0","@reeemooo3661 TNI dan Polri di Papua selalu jadi andalan buat pastikan kehidupan tetap berjalan dengan damai dan sejahtera","1917861483180077060","","reeemooo3661","in","","0","0","0","https://x.com/undefined/status/1917861483180077060","1683389882838949888",
"1916278086196466067","Sun Apr 27 05:02:08 +0000 2025","0","@NadyaMayra Beras lokal dari Merauke bener-bener jadi andalan ketahanan pangan Papua","1916357173350961487","","NadyaMayra","in","","0","0","0","https://x.com/undefined/status/1916357173350961487","1697444952358416384",
"1916076355881496812","Sat Apr 26 10:26:16 +0000 2025","3","Perempuan papua memang andalan Sudah luka dalam masih aja becanda. https://t.co/xeOXsZblVM","1916076355881496812","https://pbs.twimg.com/media/GpdFSm0bEAIfrzd.jpg","","in","","0","1","0","https://x.com/undefined/status/1916076355881496812","1395171646151880706",
"1914134572809507164","Mon Apr 21 06:15:48 +0000 2025","0","@hexagrap_id Beneran keren MBG jadi sahabat andalan Papua buat wujudkan masa depan gemilang","1914201383802421456","","hexagrap_id","in","","0","0","0","https://x.com/undefined/status/1914201383802421456","1841730820043898883",
"1913793530927133124","Sun Apr 20 03:15:08 +0000 2025","0","Program MBG jadi andalan baru masyarakat udah support habis-habisan buat Papua Pegunungan #MBGMajukanPapua https://t.co/niVEm98XR9","1913793530927133124","https://pbs.twimg.com/media/Go8pEeYbsAAAGud.jpg","","in","","0","0","0","https://x.com/undefined/status/1913793530927133124","979754853302857729",
"1906902653277450286","Tue Apr 01 13:39:15 +0000 2025","0","@FradaRandi1 Yusen Tabuni andalan masyarakat Papua dalam mendukung MBG agar bisa sejahtera bersama","1907065225570115981","","FradaRandi1","in","","0","0","0","https://x.com/undefined/status/1907065225570115981","1699282950418997248",
"1906165423927861337","Mon Mar 31 01:36:51 +0000 2025","3","@ChoyruImam @herrysw Untuk telepon Pak ini adalah andalan teman teman di pedalaman Papua. Dorang sebut hape kayu.","1906521039359860755","","ChoyruImam","in","","0","0","1","https://x.com/undefined/status/1906521039359860755","122915026",
"1904917743360761920","Wed Mar 26 19:45:52 +0000 2025","0","@ruqsell TNI dan Polri duet andalan mengamankan mudik dan Papua demi negeri tercinta #SinergitasUntukBangsa","1904983159219130824","","ruqsell","in","","0","0","0","https://x.com/undefined/status/1904983159219130824","1696721271860670464",
"1904978319801717225","Wed Mar 26 19:26:38 +0000 2025","0","TNI-Polri andalan amankan mudik dan Papua tingkatkan pembangunan sesuai agenda Prabowo #SinergitasUntukBangsa","1904978319801717225","","","in","","0","0","0","https://x.com/undefined/status/1904978319801717225","1585521784769519616",
"1904664099256230329","Wed Mar 26 12:57:16 +0000 2025","0","@roticoklats Mereka mereka ini gak akan paham kak mau dijelasin kek gimana pun. Kan andalan mereka klian gk tau TNI tuh taruhannya nyawa sini gantiin TNI di Papua lahh padahal itu kan tugas mereka yak? Dlu pas daftar TNI apa tida tau tugasnya apa? ","1904880329892258164","","roticoklats","in","","0","0","0","https://x.com/undefined/status/1904880329892258164","1168135647476862977",
"1904568566411936003","Wed Mar 26 08:17:56 +0000 2025","5","@is_pelssy Ambon ada Pelupessy Oratmangoen Bakarbessy Lekatompessy Pattynama dg Landzaat. Sulut ada Tombeng Haye dg Amat NTT punya marceng Makassar ada daeng Hubner Palu punya Witan Papua pung andalan sayuri brothers dg kaks ricky kambuaya. Nyong timur voor Timnas 🇮🇩","1904810033776648501","","is_pelssy","in","","0","0","2","https://x.com/undefined/status/1904810033776648501","1705686540872187904",
"1903737589158277402","Sun Mar 23 09:16:25 +0000 2025","114","salah satu best purchase moisturizer aku dari tahun kemarin adalah: From This Island Papua Red Fruit Plumping Cream! moist andalan pas kulit lagi kering dan dehidrasi banget. Buat recovery kulit iritasi juga works di aku. https://t.co/Na2e21CGlM","1903737589158277402","https://pbs.twimg.com/media/GmtvPiWaoAAIUrN.jpg","","in","","1","5","34","https://x.com/undefined/status/1903737589158277402","1572072290",
"1900239861908656443","Fri Mar 14 02:51:11 +0000 2025","0","@AgathaShav70471 Papua di depan makan bergizi gratis jadi andalan untuk generasinya","1900379148960620638","","AgathaShav70471","in","","0","0","0","https://x.com/undefined/status/1900379148960620638","1699008286144839680",
"1900234396923478338","Thu Mar 13 17:15:59 +0000 2025","0","Lahan subur Papua dapat menjadi andalan Indonesia dalam mencapai swasembada pangan. https://t.co/bAlYJnCZ4w","1900234396923478338","https://pbs.twimg.com/media/Gl79HPmbYAYmBa2.jpg","","in","","0","0","0","https://x.com/undefined/status/1900234396923478338","1868949912697946116",
"1899631016899407900","Wed Mar 12 10:00:54 +0000 2025","0","@NoemeeBelonta Maju terus Papua food estate dan dukungan masyarakat jadi andalan","1899762516953047407","","NoemeeBelonta","in","","0","0","0","https://x.com/undefined/status/1899762516953047407","1699643827315986432",
"1899260544026308902","Tue Mar 11 02:15:48 +0000 2025","0","@AgathaShav70471 Inisiatif cerdas Pemda Papua Pegunungan dapur umum jadi andalan gizi","1899283081091256427","","AgathaShav70471","in","","0","0","0","https://x.com/undefined/status/1899283081091256427","1699333675496972288",
"1899260412438450407","Tue Mar 11 01:58:35 +0000 2025","0","@AgathaShav70471 Langkah tepat Pemda Papua Pegunungan dapur umum jadi andalan buat kesehatan masyarakat","1899278749163819194","","AgathaShav70471","in","","0","0","0","https://x.com/undefined/status/1899278749163819194","1699282950418997248",
"1897093069176287601","Wed Mar 05 01:13:28 +0000 2025","0","Berbuka puasa lebih nikmat dengan takjil favorit Setelah seharian berpuasa saatnya menikmati takjil yang manis dan menyegarkan. Dari yang dingin sampai yang hangat mana yang jadi andalan Electrizen untuk berbuka? #PLNMobile #SemuaMakinMudah https://t.co/hOWyCQAarC","1897093069176287601","https://pbs.twimg.com/ext_tw_video_thumb/1897093013148438528/pu/img/6dlwpZbfRdJ2M6nY.jpg","","in","","0","0","0","https://x.com/undefined/status/1897093069176287601","1245264678080536581",
"1894934539086270863","Thu Feb 27 08:06:57 +0000 2025","0","@KotaNusantara Kemitraan hebat hadirkan masa depan penuh harapan bagi 2.500 anak Papua. Gizi dan edukasi andalan jadi pendamping","1895022797174514063","","KotaNusantara","in","","0","0","0","https://x.com/undefined/status/1895022797174514063","1694646982101569536",
"1892751694108237978","Fri Feb 21 07:50:17 +0000 2025","0","@AgathaShav70471 Dana Otsus andalan pendidikan! Bersama MBG gizi Papua lebih baik","1892844275387253048","","AgathaShav70471","in","","0","0","0","https://x.com/undefined/status/1892844275387253048","1697507939123331072",
"1892481538647880070","Thu Feb 20 07:48:55 +0000 2025","0","Pajak dari sektor tambang emang udah jadi andalan buat nambah pemasukan negara dan Papua Tengah berhasil nunjukin kalau mereka bisa jadi powerhouse dalam kontribusi pajak! ","1892481545153196081","","YudhaYudhakus","in","","0","1","0","https://x.com/undefined/status/1892481545153196081","1356534510762909696",
"1892150133841940629","Wed Feb 19 09:52:01 +0000 2025","6","Visi Presiden Prabowo utk Indonesia Sehat adalah kunci membangun SDM yg unggul. Dan salah satu program andalan yg dirancang utk mendukung agenda tersebut adalah Program Makan Bergizi Gratis. #MBGIndonesiaCerah Luhut Papua Mendiktisaintek Satryo Soemantri Brodjonegoro https://t.co/8dK0ggVpkN","1892150133841940629","https://pbs.twimg.com/media/GkJEhMlaYAAWPra.jpg","","in","","0","5","7","https://x.com/undefined/status/1892150133841940629","863740723287306240",
"1891308299577896976","Mon Feb 17 06:18:51 +0000 2025","0","@vyeimo83 Waktu pilpres kemarin MBG program andalan siapa ya ? trus di papua dia menang ga?","1891371716640715224","","vyeimo83","in","","0","1","0","https://x.com/undefined/status/1891371716640715224","1525758363925024768",
"1889838109346635807","Thu Feb 13 07:31:00 +0000 2025","0","@kris_rosari Jadikan OAP sebagai andalan Papua dalam menerapkan MBG #MBGPapua","1889940320256925950","","kris_rosari","in","","0","0","0","https://x.com/undefined/status/1889940320256925950","1684133339538788353",
"1887645368244130211","Fri Feb 07 03:40:40 +0000 2025","0","@ssiftly Program ketahanan pangan TNI AL siap bawa Papua ke level tinggi. Potensi maritim kita jadi andalan masa depan","1887708026150564202","","ssiftly","in","","0","0","0","https://x.com/undefined/status/1887708026150564202","1700025230885097472",
"1887644597809258597","Fri Feb 07 03:22:54 +0000 2025","0","@Yunisyaahhh33 Papua berperan penting dalam ketahanan pangan sinergi bersama TNI AL jadi andalan kita","1887703558524706910","","Yunisyaahhh33","in","","0","0","0","https://x.com/undefined/status/1887703558524706910","1684464309936726017",
